distance,radialVelocity,solutionVelocity,solutionAngle,robustness,tof
2.80000,0.00000,6.60000,59.90000,12.20470,0.87000
2.80000,0.50000,6.30000,61.40000,12.39318,0.82000
2.80000,1.00000,6.10000,66.40000,11.39862,0.83000
2.80000,1.50000,6.10000,74.30000,10.52826,0.91000
2.80000,2.00000,5.70000,73.80000,11.01040,0.80000
3.00000,-2.00000,8.10000,52.30000,17.42125,1.05000
3.00000,-1.50000,7.70000,52.90000,14.42286,0.98000
3.00000,-1.00000,7.30000,50.30000,12.07574,0.84000
3.00000,-0.50000,7.00000,54.50000,12.37104,0.86000
3.00000,0.00000,6.70000,56.30000,12.46940,0.83000
3.00000,0.50000,6.70000,66.90000,12.76735,0.99000
3.00000,1.00000,6.30000,67.10000,11.66335,0.89000
3.00000,1.50000,6.20000,72.80000,11.71538,0.92000
3.00000,2.00000,6.10000,77.70000,10.87930,0.93000
3.20000,-2.00000,8.20000,50.60000,16.11662,1.03000
3.20000,-1.50000,7.80000,50.10000,13.76774,0.94000
3.20000,-1.00000,7.50000,53.50000,14.01952,0.95000
3.20000,-0.50000,7.20000,56.20000,14.63290,0.94000
3.20000,0.00000,7.00000,61.30000,14.18566,0.98000
3.20000,0.50000,6.60000,60.30000,12.77974,0.87000
3.20000,1.00000,6.30000,60.00000,13.20925,0.79000
3.20000,1.50000,6.40000,72.90000,12.35071,0.97000
3.20000,2.00000,6.10000,74.80000,11.88221,0.91000
3.40000,-2.00000,8.40000,51.40000,18.46617,1.09000
3.40000,-1.50000,8.00000,51.70000,15.97065,1.02000
3.40000,-1.00000,7.70000,54.60000,15.03554,1.01000
3.40000,-0.50000,7.30000,50.80000,13.47972,0.85000
3.40000,0.00000,7.00000,55.20000,13.47573,0.88000
3.40000,0.50000,6.90000,64.00000,14.72556,1.00000
3.40000,1.00000,6.50000,63.20000,14.04305,0.89000
3.40000,1.50000,6.20000,63.30000,14.06758,0.81000
3.40000,2.00000,6.30000,75.00000,13.44806,0.97000
3.60000,-2.00000,8.60000,52.10000,20.97468,1.14000
3.60000,-1.50000,8.20000,52.70000,17.54125,1.07000
3.60000,-1.00000,7.80000,52.40000,15.68340,0.99000
3.60000,-0.50000,7.50000,55.20000,16.58777,0.98000
3.60000,0.00000,7.20000,57.60000,15.80492,0.96000
3.60000,0.50000,6.90000,59.60000,14.54649,0.93000
3.60000,1.00000,6.60000,60.70000,14.53901,0.88000
3.60000,1.50000,6.50000,68.40000,13.72495,0.95000
3.60000,2.00000,6.30000,72.00000,14.14347,0.94000
3.80000,-2.00000,8.70000,50.70000,19.04487,1.12000
3.80000,-1.50000,8.30000,50.90000,18.08256,1.05000
3.80000,-1.00000,8.00000,53.80000,17.68135,1.06000
3.80000,-0.50000,7.60000,52.00000,15.05806,0.94000
3.80000,0.00000,7.30000,51.00000,14.67532,0.85000
3.80000,0.50000,7.00000,56.50000,14.99862,0.90000
3.80000,1.00000,6.80000,62.70000,14.91374,0.95000
3.80000,1.50000,6.50000,63.80000,14.93110,0.90000
3.80000,2.00000,6.40000,70.60000,14.53654,0.95000
4.00000,-2.00000,8.90000,51.50000,23.17308,1.18000
4.00000,-1.50000,8.50000,52.10000,18.83557,1.12000
4.00000,-1.00000,8.10000,51.80000,17.43418,1.03000
4.00000,-0.50000,7.80000,54.70000,17.34349,1.03000
4.00000,0.00000,7.50000,57.10000,16.51282,1.02000
4.00000,0.50000,7.20000,59.20000,16.25318,0.99000
4.00000,1.00000,6.90000,60.80000,15.80962,0.95000
4.00000,1.50000,6.60000,61.20000,15.40747,0.88000
4.00000,2.00000,6.40000,66.30000,14.91025,0.90000
4.20000,-2.00000,9.00000,50.30000,20.43359,1.17000
4.20000,-1.50000,8.60000,50.40000,20.21243,1.10000
4.20000,-1.00000,8.30000,53.40000,19.24393,1.11000
4.20000,-0.50000,7.90000,52.20000,17.40408,1.00000
4.20000,0.00000,7.60000,54.90000,17.67463,1.00000
4.20000,0.50000,7.30000,57.00000,16.24448,0.97000
4.20000,1.00000,7.00000,54.20000,16.13000,0.85000
4.20000,1.50000,7.20000,71.10000,17.40669,1.14000
4.20000,2.00000,6.50000,64.40000,16.19374,0.90000
4.40000,-2.00000,9.20000,51.30000,23.60351,1.23000
4.40000,-1.50000,8.80000,51.80000,21.39055,1.17000
4.40000,-1.00000,8.40000,51.70000,20.16199,1.09000
4.40000,-0.50000,8.10000,54.50000,20.49166,1.09000
4.40000,0.00000,7.80000,56.90000,19.07186,1.07000
4.40000,0.50000,7.50000,59.00000,18.11548,1.05000
4.40000,1.00000,7.20000,60.80000,18.05926,1.01000
4.40000,1.50000,6.90000,62.10000,16.68561,0.97000
4.40000,2.00000,6.70000,66.50000,16.47738,0.98000
4.60000,-2.00000,9.40000,52.10000,24.37769,1.28000
4.60000,-1.50000,8.90000,50.40000,21.35439,1.15000
4.60000,-1.00000,8.60000,53.20000,21.40489,1.16000
4.60000,-0.50000,8.20000,52.50000,19.34921,1.07000
4.60000,0.00000,7.90000,55.20000,19.15979,1.06000
4.60000,0.50000,7.60000,57.30000,19.47152,1.04000
4.60000,1.00000,7.40000,62.20000,18.12121,1.08000
4.60000,1.50000,7.00000,54.60000,17.56461,0.86000
4.60000,2.00000,6.90000,67.70000,18.71514,1.04000
4.80000,-2.00000,9.50000,51.20000,24.26207,1.28000
4.80000,-1.50000,9.10000,51.80000,24.41628,1.22000
4.80000,-1.00000,8.70000,51.80000,21.21378,1.15000
4.80000,-0.50000,8.40000,54.50000,21.95185,1.15000
4.80000,0.00000,8.00000,52.60000,18.57595,1.03000
4.80000,0.50000,7.70000,50.90000,18.06568,0.93000
4.80000,1.00000,7.40000,53.20000,17.89785,0.92000
4.80000,1.50000,7.20000,62.50000,18.64061,1.04000
4.80000,2.00000,6.90000,63.50000,18.11077,0.98000
5.00000,-2.00000,9.60000,50.20000,25.47418,1.27000
5.00000,-1.50000,9.20000,50.60000,24.82497,1.21000
5.00000,-1.00000,8.90000,53.30000,24.49972,1.21000
5.00000,-0.50000,8.50000,53.00000,21.31700,1.13000
5.00000,0.00000,8.20000,55.50000,20.46915,1.13000
5.00000,0.50000,7.90000,57.70000,20.57467,1.11000
5.00000,1.00000,7.60000,59.60000,20.56330,1.08000
5.00000,1.50000,7.30000,51.70000,19.71350,0.86000
5.00000,2.00000,7.10000,65.40000,18.54656,1.05000
5.20000,-2.00000,9.80000,51.30000,28.41595,1.33000
5.20000,-1.50000,9.40000,51.90000,25.52703,1.27000
5.20000,-1.00000,9.00000,52.10000,23.37748,1.21000
5.20000,-0.50000,8.60000,50.90000,20.77024,1.11000
5.20000,0.00000,8.30000,53.90000,21.31467,1.11000
5.20000,0.50000,8.00000,56.20000,21.11478,1.10000
5.20000,1.00000,7.70000,50.20000,19.18875,0.91000
5.20000,1.50000,7.40000,52.60000,19.21028,0.90000
5.20000,2.00000,7.10000,56.70000,19.25673,0.92000
5.40000,-2.00000,9.90000,50.40000,28.67886,1.32000
5.40000,-1.50000,9.50000,50.90000,26.06394,1.27000
5.40000,-1.00000,9.10000,50.70000,23.17065,1.19000
5.40000,-0.50000,8.80000,53.50000,24.37225,1.20000
5.40000,0.00000,8.40000,50.10000,20.12074,1.05000
5.40000,0.50000,8.10000,50.00000,19.56022,0.99000
5.40000,1.00000,7.80000,51.60000,20.22720,0.96000
5.40000,1.50000,7.50000,54.50000,19.86967,0.96000
5.40000,2.00000,7.30000,51.90000,20.55386,0.86000
5.60000,-2.00000,10.10000,51.50000,31.74072,1.38000
5.60000,-1.50000,9.70000,52.10000,28.36013,1.33000
5.60000,-1.00000,9.30000,52.50000,26.00126,1.27000
5.60000,-0.50000,8.90000,52.10000,23.02933,1.19000
5.60000,0.00000,8.60000,54.70000,24.27900,1.18000
5.60000,0.50000,8.30000,56.90000,23.20045,1.17000
5.60000,1.00000,8.00000,58.80000,22.87938,1.14000
5.60000,1.50000,7.70000,50.00000,20.51632,0.91000
5.60000,2.00000,7.40000,61.70000,21.54630,1.07000
5.80000,-2.00000,10.20000,50.70000,32.11900,1.38000
5.80000,-1.50000,9.80000,51.30000,27.91812,1.33000
5.80000,-1.00000,9.40000,51.40000,25.72107,1.26000
5.80000,-0.50000,9.00000,50.10000,23.14851,1.16000
5.80000,0.00000,8.70000,53.30000,24.44864,1.17000
5.80000,0.50000,8.40000,55.60000,22.82316,1.16000
5.80000,1.00000,8.10000,57.60000,22.98567,1.14000
5.80000,1.50000,7.80000,50.70000,22.39365,0.94000
5.80000,2.00000,7.50000,53.20000,20.82270,0.93000
6.00000,-2.00000,10.30000,50.00000,29.12812,1.38000
6.00000,-1.50000,9.90000,50.40000,28.06248,1.32000
6.00000,-1.00000,9.50000,50.20000,26.22507,1.25000
6.00000,-0.50000,9.20000,52.90000,27.05971,1.26000
6.00000,0.00000,8.80000,51.10000,23.27259,1.14000
6.00000,0.50000,8.50000,54.00000,24.05578,1.15000
6.00000,1.00000,8.20000,56.10000,23.11353,1.13000
6.00000,1.50000,7.90000,51.60000,21.83161,0.98000
6.00000,2.00000,7.60000,54.50000,21.82258,0.98000
